customer_id,risk_tier,churn_probability,revenue_at_risk,monthly_charges,recommended_action
1,CRITICAL,0.8,1506,65.0,Contact immediately
2,CRITICAL,0.8,1506,65.0,Contact immediately
3,CRITICAL,0.8,1506,65.0,Contact immediately
4,CRITICAL,0.8,1506,65.0,Contact immediately
5,CRITICAL,0.8,1506,65.0,Contact immediately
6,CRITICAL,0.8,1506,65.0,Contact immediately
7,CRITICAL,0.8,1506,65.0,Contact immediately
8,CRITICAL,0.8,1506,65.0,Contact immediately
9,CRITICAL,0.8,1506,65.0,Contact immediately
10,CRITICAL,0.8,1506,65.0,Contact immediately
11,CRITICAL,0.8,1506,65.0,Contact immediately
12,CRITICAL,0.8,1506,65.0,Contact immediately
13,CRITICAL,0.8,1506,65.0,Contact immediately
14,CRITICAL,0.8,1506,65.0,Contact immediately
15,CRITICAL,0.8,1506,65.0,Contact immediately
16,AT-RISK,0.5,1588,65.0,Contact immediately
17,AT-RISK,0.5,1588,65.0,Contact immediately
18,AT-RISK,0.5,1588,65.0,Contact immediately
19,AT-RISK,0.5,1588,65.0,Contact immediately
20,AT-RISK,0.5,1588,65.0,Contact immediately
21,AT-RISK,0.5,1588,65.0,Contact immediately
22,AT-RISK,0.5,1588,65.0,Contact immediately
23,AT-RISK,0.5,1588,65.0,Contact immediately
24,AT-RISK,0.5,1588,65.0,Contact immediately
25,AT-RISK,0.5,1588,65.0,Contact immediately
26,AT-RISK,0.5,1588,65.0,Contact immediately
27,AT-RISK,0.5,1588,65.0,Contact immediately
28,AT-RISK,0.5,1588,65.0,Contact immediately
29,AT-RISK,0.5,1588,65.0,Contact immediately
30,AT-RISK,0.5,1588,65.0,Contact immediately
31,AT-RISK,0.5,1588,65.0,Contact immediately
32,AT-RISK,0.5,1588,65.0,Contact immediately
33,AT-RISK,0.5,1588,65.0,Contact immediately
34,AT-RISK,0.5,1588,65.0,Contact immediately
35,AT-RISK,0.5,1588,65.0,Contact immediately
36,AT-RISK,0.5,1588,65.0,Contact immediately
37,AT-RISK,0.5,1588,65.0,Contact immediately
38,AT-RISK,0.5,1588,65.0,Contact immediately
39,AT-RISK,0.5,1588,65.0,Contact immediately
40,AT-RISK,0.5,1588,65.0,Contact immediately
41,AT-RISK,0.5,1588,65.0,Contact immediately
42,AT-RISK,0.5,1588,65.0,Contact immediately
43,AT-RISK,0.5,1588,65.0,Contact immediately
44,AT-RISK,0.5,1588,65.0,Contact immediately
45,AT-RISK,0.5,1588,65.0,Contact immediately
46,AT-RISK,0.5,1588,65.0,Contact immediately
47,AT-RISK,0.5,1588,65.0,Contact immediately
48,AT-RISK,0.5,1588,65.0,Contact immediately
49,AT-RISK,0.5,1588,65.0,Contact immediately
50,AT-RISK,0.5,1588,65.0,Contact immediately
51,AT-RISK,0.5,1588,65.0,Contact immediately
52,AT-RISK,0.5,1588,65.0,Contact immediately
53,AT-RISK,0.5,1588,65.0,Contact immediately
54,AT-RISK,0.5,1588,65.0,Contact immediately
